staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
64,0.5,1.5,66.76651870000023,,66.75020480000012,66.76651870000023,67.26632090000021,67.24971249999999,67.24971249999999,67.54969550000033,67.76698600000009,left,-1.5,1,1,0.5012053999998898,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
65,0.5,1.0,67.78279550000025,,67.76704689999997,67.78279550000025,68.28295359999993,68.26620870000033,68.26620870000033,68.5661454000001,68.73398040000029,right,1.0,1,1,0.46197040000015477,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
66,0.5,1.0,68.74952040000016,,68.73404000000028,68.74952040000016,69.24946480000017,69.24946480000017,69.24946480000017,69.55009220000011,69.81711780000023,left,-1.0,1,1,0.5657329999999092,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
67,0.5,1.0,69.83259709999993,,69.81718660000024,69.83259709999993,70.33242930000006,70.33242930000006,70.33242930000006,70.6324125000001,70.71679680000034,right,1.0,1,1,0.3693391000001611,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
68,0.5,1.0,70.7324993000002,,70.71685539999999,70.7324993000002,71.23249940000005,71.23249940000005,71.23249940000005,71.53228720000016,71.71649040000011,left,-1.0,1,1,0.4763205000003836,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
69,0.5,1.0,71.73244100000011,,71.71654750000016,71.73244100000011,72.23231250000026,72.21558410000034,72.21558410000034,72.51554110000006,72.74984440000026,right,1.0,1,1,0.5171822000002066,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
70,0.5,1.0,72.76554880000003,,72.74990180000032,72.76554880000003,73.26539180000009,73.24913349999997,73.24913349999997,73.54894749999994,73.73315120000007,right,1.0,0,0,0.4804887000000235,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
71,0.5,1.5,73.74871980000034,,73.73321040000019,73.74871980000034,74.2486173000002,74.2486173000002,74.2486173000002,74.54856000000018,74.81631319999997,left,-1.5,1,1,0.5590170000000398,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
72,0.5,1.5,74.8320977000003,,74.81637150000006,74.8320977000003,75.33191450000004,75.33191450000004,75.33191450000004,75.63182129999996,75.86620459999995,left,-1.5,1,1,0.5313734000001205,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
73,0.5,1.5,75.88193360000014,,75.86626280000019,75.88193360000014,76.38183490000029,76.38183490000029,76.38183490000029,76.68176390000008,76.86593360000006,right,1.5,1,1,0.46926110000003973,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
74,0.5,1.0,76.88164360000019,,76.865992,76.88164360000019,77.3815267,77.36509010000009,77.36509010000009,77.66505880000022,77.8490799000001,right,1.0,1,1,0.46969599999965794,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
75,0.5,1.0,77.86485990000028,,77.84913649999999,77.86485990000028,78.36488120000013,78.3482213000002,78.3482213000002,78.64808570000014,78.96549510000023,left,-1.0,1,1,0.6023691999998846,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
76,0.5,1.0,78.98167660000036,,78.96555269999999,78.98167660000036,79.4814778,79.46462440000005,79.46462440000005,79.76458240000011,80.04896469999994,right,1.0,1,1,0.5782353999998122,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
77,0.5,1.0,80.06472010000016,,80.04902410000022,80.06472010000016,80.56459820000009,80.54788469999994,80.54788469999994,80.8478841000001,81.14888450000035,right,1.0,1,1,0.5991871999999603,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
78,0.5,1.0,81.16442450000022,,81.14894210000011,81.16442450000022,81.66547870000022,81.66547870000022,81.66547870000022,81.98097940000025,82.11556360000031,right,1.0,1,1,0.44784240000035425,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
79,0.5,1.0,82.13109940000004,,82.11562099999992,82.13109940000004,82.63081850000026,82.63081850000026,82.63081850000026,82.93103180000026,83.08211789999996,left,-1.0,0,0,0.4497076999996352,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
80,0.5,1.5,83.0976482000001,,83.08217490000015,83.0976482000001,83.59758280000005,83.59758280000005,83.59758280000005,83.89748860000009,84.0315800000003,left,-1.5,1,1,0.4261261999999988,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
81,0.5,1.5,84.04744440000013,,84.03163710000035,84.04744440000013,84.5473465,84.53077940000003,84.53077940000003,84.83067120000032,85.0653499,right,1.5,1,1,0.5335276000000704,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
82,0.5,1.5,85.08065699999997,,85.06540670000004,85.08065699999997,85.58075830000007,85.58075830000007,85.58075830000007,85.88042840000026,86.03143530000034,right,1.5,1,1,0.4405655000000479,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
83,0.5,1.0,86.04713500000025,,86.03149490000033,86.04713500000025,86.54709920000005,86.53041060000032,86.53041060000032,86.83053100000006,87.19827450000003,right,1.0,0,0,0.6545810000002348,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
84,0.5,1.5,87.21465590000025,,87.1983352000002,87.21465590000025,87.7136289,87.7136289,87.7136289,88.01330760000019,88.4145982,right,1.5,1,1,0.6998232999999345,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
85,0.5,1.5,88.43015520000017,,88.41465430000017,88.43015520000017,88.93013280000014,88.93013280000014,88.93013280000014,89.23019620000014,89.4644773,right,1.5,0,0,0.5295525999999882,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
86,0.5,2.0,89.48011590000033,,89.4645373000003,89.48011590000033,89.9811393,89.9811393,89.9811393,90.2966948000003,90.44764080000004,left,-2.0,1,1,0.4607419999997546,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
87,0.5,2.0,90.46343300000035,,90.4476966000002,90.46343300000035,90.96308020000015,90.96308020000015,90.96308020000015,91.2632509,91.41417150000007,left,-2.0,1,1,0.4413297999999486,Tanishka,001,2024-09-11_12h04.57.596,untitled,2024.1.5,None,2024-09-11 12h05.12.858963 +0530,
